date,people,acc_people,acc_sales
2012-04-20,822,822,"9,864,000"
2012-04-23,440,"1,262","14,712,000"
2012-04-24,173,"1,435","16,096,000"
2012-04-25,"78,519","79,954","755,131,000"
2012-04-26,"214,105","294,059","2,625,016,500"
2012-04-27,"273,544","567,603","5,083,902,000"
2012-04-28,"554,479","1,122,082","10,048,320,500"
2012-04-29,"517,247","1,639,329","14,640,036,000"
2012-04-30,"229,617","1,868,946","16,634,072,500"
2012-05-01,"373,004","2,241,950","19,882,860,000"
2012-05-02,"172,731","2,414,681","21,346,811,500"
2012-05-03,"161,353","2,576,034","22,695,575,500"
2012-05-04,"286,669","2,862,703","25,105,921,000"
2012-05-05,"659,320","3,522,023","30,661,681,500"
2012-05-06,"487,146","4,009,169","34,769,426,000"
2012-05-07,"131,681","4,140,850","35,864,070,500"
2012-05-08,"108,871","4,249,721","36,780,031,500"
2012-05-09,"111,123","4,360,844","37,709,286,000"
2012-05-10,"99,761","4,460,605","38,524,882,500"
2012-05-11,"163,291","4,623,896","39,890,468,500"
2012-05-12,"435,438","5,059,334","43,514,898,500"
2012-05-13,"398,260","5,457,594","46,793,026,000"
2012-05-14,"91,973","5,549,567","47,548,168,000"
2012-05-15,"107,046","5,656,613","48,397,364,500"
2012-05-16,"73,094","5,729,707","48,993,710,500"
2012-05-17,"57,355","5,787,062","49,451,329,000"
2012-05-18,"87,293","5,874,355","50,166,932,000"
2012-05-19,"252,465","6,126,820","52,220,540,500"
2012-05-20,"226,787","6,353,607","54,037,711,500"
2012-05-21,"43,248","6,396,855","54,388,033,000"
2012-05-22,"37,343","6,434,198","54,688,375,500"
2012-05-23,"36,806","6,471,004","54,982,555,500"
2012-05-24,"21,302","6,492,306","55,144,831,000"
2012-05-25,"37,061","6,529,367","55,433,350,033"
2012-05-26,"102,698","6,632,065","56,211,205,565"
2012-05-27,"121,427","6,753,492","57,127,609,565"
2012-05-28,"120,554","6,874,046","58,009,661,065"
2012-05-29,"18,475","6,892,521","58,147,120,565"
2012-05-30,"10,113","6,902,634","58,225,428,565"
2012-05-31,"10,284","6,912,918","58,305,863,565"
2012-06-01,"13,507","6,926,425","58,415,549,065"
2012-06-02,"43,325","6,969,750","58,755,411,565"
2012-06-03,"39,973","7,009,723","59,063,316,065"
2012-06-04,"7,812","7,017,535","59,124,884,065"
2012-06-05,"7,835","7,025,370","59,182,494,565"
2012-06-06,"9,709","7,035,079","59,252,059,565"
2012-06-07,"1,705","7,036,784","59,264,449,065"
2012-06-08,"2,156","7,038,940","59,281,497,065"
2012-06-09,"7,140","7,046,080","59,337,034,565"
2012-06-10,"6,915","7,052,995","59,389,956,565"
2012-06-11,"1,551","7,054,546","59,401,414,565"
2012-06-12,"1,306","7,055,852","59,411,104,565"
2012-06-13,"1,353","7,057,205","59,421,284,065"
2012-06-14,747,"7,057,952","59,426,747,565"
2012-06-15,"1,152","7,059,104","59,435,835,565"
2012-06-16,"3,464","7,062,568","59,463,456,065"
2012-06-17,"3,181","7,065,749","59,488,766,565"
2012-06-18,747,"7,066,496","59,494,203,565"
2012-06-19,770,"7,067,266","59,499,806,065"
2012-06-20,743,"7,068,009","59,505,212,565"
2012-06-21,421,"7,068,430","59,508,365,065"
2012-06-22,574,"7,069,004","59,513,005,065"
2012-06-23,"1,218","7,070,222","59,523,814,065"
2012-06-24,"1,412","7,071,634","59,536,104,565"
2012-06-25,434,"7,072,068","59,539,385,065"
2012-06-26,434,"7,072,502","59,542,611,565"
2012-06-27,433,"7,072,935","59,545,782,565"
2012-06-28,14,"7,072,949","59,545,873,565"
2012-06-29,34,"7,072,983","59,546,139,565"
2012-06-30,54,"7,073,037","59,546,521,565"
2012-07-01,70,"7,073,107","59,547,033,565"
2012-07-02,33,"7,073,140","59,547,234,565"
2012-07-03,36,"7,073,176","59,547,467,565"
2012-07-04,49,"7,073,225","59,547,788,565"
2012-07-05,29,"7,073,254","59,548,019,565"
2012-07-06,22,"7,073,276","59,548,217,565"
2012-07-07,76,"7,073,352","59,548,783,565"
2012-07-08,75,"7,073,427","59,549,300,565"
2012-07-09,56,"7,073,483","59,549,712,565"
2012-07-10,42,"7,073,525","59,550,018,565"
2012-07-11,59,"7,073,584","59,550,455,565"
2012-07-12,19,"7,073,603","59,550,550,565"
2012-07-13,11,"7,073,614","59,550,643,565"
2012-07-14,117,"7,073,731","59,551,558,565"
2012-07-15,105,"7,073,836","59,552,431,565"
2012-07-16,31,"7,073,867","59,552,646,565"
2012-07-17,39,"7,073,906","59,552,931,565"
2012-07-18,48,"7,073,954","59,553,287,565"
2012-07-20,498,"7,074,452","59,555,778,063"
2012-07-21,415,"7,074,867","59,557,853,478"
2015-04-23,22,"7,074,889","59,558,087,478"
2015-04-24,2,"7,074,891","59,558,111,478"
2018-10-24,148,"7,075,039","59,559,346,478"
2018-10-26,46,"7,075,085","59,559,786,478"
2018-10-27,100,"7,075,185","59,560,678,978"
2018-10-28,6,"7,075,191","59,560,733,978"
2018-10-29,6,"7,075,197","59,560,781,978"
2018-10-31,17,"7,075,214","59,560,919,478"
2018-11-01,3,"7,075,217","59,560,944,478"
2018-11-02,20,"7,075,237","59,561,094,978"
2018-11-03,131,"7,075,368","59,562,210,978"
2018-11-04,101,"7,075,469","59,563,156,978"
2018-11-05,48,"7,075,517","59,563,564,978"
2018-11-06,90,"7,075,607","59,564,324,478"
