date,people,acc_people,acc_money
2019-04-23,624,624,"9,360,000"
2019-04-24,"1,338,729","1,339,353","9,688,349,600"
2019-04-25,"832,180","2,171,533","16,837,301,150"
2019-04-26,"1,046,691","3,218,224","26,573,128,170"
2019-04-27,"1,662,469","4,880,693","41,543,135,770"
2019-04-28,"1,427,355","6,308,048","54,355,659,450"
2019-04-29,"471,789","6,779,837","58,455,194,670"
2019-04-30,"551,321","7,331,158","63,197,528,530"
2019-05-01,"911,374","8,242,532","70,622,585,080"
2019-05-02,"376,822","8,619,354","73,835,301,070"
2019-05-03,"567,060","9,186,414","78,999,407,980"
2019-05-04,"899,865","10,086,279","87,136,606,220"
2019-05-05,"866,036","10,952,315","95,028,901,150"
2019-05-06,"639,357","11,591,672","100,751,957,850"
2019-05-07,"164,346","11,756,018","102,202,015,560"
2019-05-08,"120,161","11,876,179","103,287,237,560"
2019-05-09,"110,547","11,986,726","104,262,986,620"
2019-05-10,"167,809","12,154,535","105,840,027,570"
2019-05-11,"354,219","12,508,754","109,106,323,020"
2019-05-12,"290,778","12,799,532","111,768,526,730"
2019-05-13,"82,378","12,881,910","112,506,763,940"
2019-05-14,"69,900","12,951,810","113,130,049,170"
2019-05-15,"62,153","13,013,963","113,674,308,070"
2019-05-16,"50,837","13,064,800","114,134,385,420"
2019-05-17,"73,269","13,138,069","114,844,255,670"
2019-05-18,"169,574","13,307,643","116,445,017,590"
2019-05-19,"145,997","13,453,640","117,805,056,120"
2019-05-20,"41,642","13,495,282","118,179,576,240"
2019-05-21,"36,047","13,531,329","118,507,860,840"
2019-05-22,"35,466","13,566,795","118,838,737,420"
2019-05-23,"22,425","13,589,220","119,044,339,760"
2019-05-24,"31,296","13,620,516","119,353,878,940"
2019-05-25,"69,510","13,690,026","120,005,260,780"
2019-05-26,"58,990","13,749,016","120,548,096,310"
2019-05-27,"21,943","13,770,959","120,749,682,090"
2019-05-28,"18,890","13,789,849","120,915,274,120"
2019-05-29,"15,369","13,805,218","121,013,081,130"
2019-05-30,"5,452","13,810,670","121,057,369,580"
2019-05-31,"8,196","13,818,866","121,130,432,860"
2019-06-01,"13,071","13,831,937","121,244,566,720"
2019-06-02,"11,972","13,843,909","121,347,924,730"
2019-06-03,"5,067","13,848,976","121,388,840,530"
2019-06-04,"5,092","13,854,068","121,430,019,490"
2019-06-05,"2,888","13,856,956","121,453,537,340"
2019-06-06,"5,247","13,862,203","121,498,848,490"
2019-06-07,"4,137","13,866,340","121,534,589,620"
2019-06-08,"4,979","13,871,319","121,578,354,660"
2019-06-09,"4,011","13,875,330","121,613,660,370"
2019-06-10,"1,932","13,877,262","121,629,367,890"
2019-06-11,"1,607","13,878,869","121,642,592,720"
2019-06-12,"1,168","13,880,037","121,652,167,730"
2019-06-13,"1,189","13,881,226","121,662,043,010"
2019-06-14,"1,617","13,882,843","121,676,691,360"
2019-06-15,"2,670","13,885,513","121,700,659,790"
2019-06-16,"2,300","13,887,813","121,721,428,090"
2019-06-17,"1,275","13,889,088","121,732,071,200"
2019-06-18,"1,322","13,890,410","121,743,079,310"
2019-06-19,893,"13,891,303","121,750,555,220"
2019-06-20,720,"13,892,023","121,756,360,520"
2019-06-21,933,"13,892,956","121,765,044,110"
2019-06-22,"1,611","13,894,567","121,779,806,840"
2019-06-23,"1,272","13,895,839","121,791,221,800"
2019-06-24,"2,966","13,898,805","121,823,333,300"
2019-06-25,"2,608","13,901,413","121,852,627,280"
2019-06-26,"2,244","13,903,657","121,877,778,060"
2019-06-27,"2,265","13,905,922","121,904,048,600"
2019-06-28,"2,976","13,908,898","121,938,332,880"
2019-06-29,"5,271","13,914,169","121,996,865,160"
2019-06-30,"4,590","13,918,759","122,048,514,200"
2019-07-01,594,"13,919,353","122,053,569,070"
2019-07-02,166,"13,919,519","122,054,898,700"
2019-07-03,355,"13,919,874","122,057,816,390"
2019-07-04,421,"13,920,295","122,061,236,870"
2019-07-05,378,"13,920,673","122,064,777,770"
2019-07-06,707,"13,921,380","122,070,932,230"
2019-07-07,710,"13,922,090","122,077,047,590"
