num,date,people,acc_people,acc_money
1 ,2018-04-24,624,624,"9,360,000"
2 ,2018-04-25,"980,042","980,666","6,938,631,100"
3 ,2018-04-26,"595,668","1,576,334","12,134,470,000"
4 ,2018-04-27,"739,908","2,316,242","19,160,496,870"
5 ,2018-04-28,"1,333,307","3,649,549","31,460,918,131"
6 ,2018-04-29,"1,114,946","4,764,495","41,768,335,531"
7 ,2018-04-30,"495,787","5,260,282","46,128,544,531"
8 ,2018-05-01,"717,324","5,977,606","52,141,788,731"
9 ,2018-05-02,"276,967","6,254,573","54,596,438,631"
10 ,2018-05-03,"265,430","6,520,003","56,936,843,031"
11 ,2018-05-04,"419,443","6,939,446","60,853,820,684"
12 ,2018-05-05,"820,839","7,760,285","68,405,361,544"
13 ,2018-05-06,"737,625","8,497,910","75,316,269,144"
14 ,2018-05-07,"516,678","9,014,588","80,069,149,344"
15 ,2018-05-08,"125,615","9,140,203","81,199,523,644"
16 ,2018-05-09,"109,370","9,249,573","82,182,435,044"
17 ,2018-05-10,"101,160","9,350,733","83,097,348,244"
18 ,2018-05-11,"144,261","9,494,994","84,480,017,518"
19 ,2018-05-12,"348,486","9,843,480","87,782,707,101"
20 ,2018-05-13,"290,488","10,133,968","90,521,923,401"
21 ,2018-05-14,"79,245","10,213,213","91,251,545,901"
22 ,2018-05-15,"83,822","10,297,035","92,008,539,101"
23 ,2018-05-16,"47,865","10,344,900","92,394,647,701"
24 ,2018-05-17,"41,149","10,386,049","92,730,558,701"
25 ,2018-05-18,"59,412","10,445,461","93,251,716,577"
26 ,2018-05-19,"128,719","10,574,180","94,390,924,469"
27 ,2018-05-20,"115,791","10,689,971","95,412,761,069"
28 ,2018-05-21,"92,626","10,782,597","96,138,225,369"
29 ,2018-05-22,"90,877","10,873,474","96,923,872,769"
30 ,2018-05-23,"18,213","10,891,687","97,072,475,169"
