day,date,people,acc_people,acc_sales,series,daet
17 ,2015-05-07,106327 ,8573025 ,72719132800 ,avengers2,433 
18 ,2015-05-08,146621 ,8719646 ,73970946869 ,avengers2,325 
19 ,2015-05-09,344605 ,9064251 ,76948434953 ,avengers2,493 
20 ,2015-05-10,313171 ,9377422 ,79625803453 ,avengers2,526 
21 ,2015-05-11,74553 ,9451975 ,80249483953 ,avengers2,325 
22 ,2015-05-12,73593 ,9525568 ,80862113753 ,avengers2,251 
23 ,2015-05-13,70348 ,9595916 ,81443952153 ,avengers2,255 
24 ,2015-05-14,44369 ,9640285 ,81780319653 ,avengers2,255 
25 ,2015-05-15,76976 ,9717261 ,82395782548 ,avengers2,249 
26 ,2015-05-16,165492 ,9882753 ,83731204857 ,avengers2,382 
27 ,2015-05-17,142770 ,10025523 ,84880914057 ,avengers2,329 
28 ,2015-05-18,33900 ,10059423 ,85142268057 ,avengers2,226 
29 ,2015-05-19,29921 ,10089344 ,85370880557 ,avengers2,136 
30 ,2015-05-20,29516 ,10118860 ,85595714657 ,avengers2,148 
1 ,2018-04-24,624 ,624 ,9360000 ,avengers3,0 
2 ,2018-04-25,980042 ,980666 ,6938631100 ,avengers3,6341 
3 ,2018-04-26,595668 ,1576334 ,12134470000 ,avengers3,4761 
4 ,2018-04-27,739908 ,2316242 ,19160496870 ,avengers3,1736 
5 ,2018-04-28,1333307 ,3649549 ,31460918131 ,avengers3,1913 
6 ,2018-04-29,1114946 ,4764495 ,41768335531 ,avengers3,1984 
7 ,2018-04-30,495787 ,5260282 ,46128544531 ,avengers3,1357 
8 ,2018-05-01,717324 ,5977606 ,52141788731 ,avengers3,1242 
9 ,2018-05-02,276967 ,6254573 ,54596438631 ,avengers3,875 
10 ,2018-05-03,265430 ,6520003 ,56936843031 ,avengers3,637 
11 ,2018-05-04,419443 ,6939446 ,60853820684 ,avengers3,666 
12 ,2018-05-05,820839 ,7760285 ,68405361544 ,avengers3,803 
13 ,2018-05-06,737625 ,8497910 ,75316269144 ,avengers3,852 
14 ,2018-05-07,516678 ,9014588 ,80069149344 ,avengers3,777 
15 ,2018-05-08,125615 ,9140203 ,81199523644 ,avengers3,531 
16 ,2018-05-09,109370 ,9249573 ,82182435044 ,avengers3,413 
17 ,2018-05-10,101160 ,9350733 ,83097348244 ,avengers3,364 
18 ,2018-05-11,144261 ,9494994 ,84480017518 ,avengers3,380 
19 ,2018-05-12,348486 ,9843480 ,87782707101 ,avengers3,756 
20 ,2018-05-13,290488 ,10133968 ,90521923401 ,avengers3,774 
21 ,2018-05-14,79245 ,10213213 ,91251545901 ,avengers3,435 
22 ,2018-05-15,83822 ,10297035 ,92008539101 ,avengers3,347 
23 ,2018-05-16,47865 ,10344900 ,92394647701 ,avengers3,324 
24 ,2018-05-17,41149 ,10386049 ,92730558701 ,avengers3,298 
25 ,2018-05-18,59412 ,10445461 ,93251716577 ,avengers3,253 
26 ,2018-05-19,128719 ,10574180 ,94390924469 ,avengers3,354 
27 ,2018-05-20,115791 ,10689971 ,95412761069 ,avengers3,343 
28 ,2018-05-21,92626 ,10782597 ,96138225369 ,avengers3,324 
29 ,2018-05-22,90877 ,10873474 ,96923872769 ,avengers3,342 
30 ,2018-05-23,18213 ,10891687 ,97072475169 ,avengers3,210 
1 ,2019-04-23,624 ,624 ,9360000 ,avengers4,0 
2 ,2019-04-24,1338729 ,1339353 ,9688349600 ,avengers4,10366 
3 ,2019-04-25,832180 ,2171533 ,16837301150 ,avengers4,10393 
4 ,2019-04-26,1046691 ,3218224 ,26573128170 ,avengers4,5866 
5 ,2019-04-27,1662469 ,4880693 ,41543135770 ,avengers4,7010 
6 ,2019-04-28,1427355 ,6308048 ,54355659450 ,avengers4,7642 
7 ,2019-04-29,471789 ,6779837 ,58455194670 ,avengers4,4243 
8 ,2019-04-30,551321 ,7331158 ,63197528530 ,avengers4,2280 
9 ,2019-05-01,911374 ,8242532 ,70622585080 ,avengers4,3543 
10 ,2019-05-02,376822 ,8619354 ,73835301070 ,avengers4,1991 
11 ,2019-05-03,567060 ,9186414 ,78999407980 ,avengers4,1226 
12 ,2019-05-04,899865 ,10086279 ,87136606220 ,avengers4,1193 
13 ,2019-05-05,866036 ,10952315 ,95028901150 ,avengers4,1230 
14 ,2019-05-06,639357 ,11591672 ,100751957850 ,avengers4,1171 
15 ,2019-05-07,164346 ,11756018 ,102202015560 ,avengers4,736 
16 ,2019-05-08,120161 ,11876179 ,103287237560 ,avengers4,482 
17 ,2019-05-09,110547 ,11986726 ,104262986620 ,avengers4,523 
18 ,2019-05-10,167809 ,12154535 ,105840027570 ,avengers4,473 
19 ,2019-05-11,354219 ,12508754 ,109106323020 ,avengers4,540 
20 ,2019-05-12,290778 ,12799532 ,111768526730 ,avengers4,515 
21 ,2019-05-13,82378 ,12881910 ,112506763940 ,avengers4,414 
22 ,2019-05-14,69900 ,12951810 ,113130049170 ,avengers4,332 
23 ,2019-05-15,62153 ,13013963 ,113674308070 ,avengers4,296 
24 ,2019-05-16,50837 ,13064800 ,114134385420 ,avengers4,277 
25 ,2019-05-17,73269 ,13138069 ,114844255670 ,avengers4,239 
26 ,2019-05-18,169574 ,13307643 ,116445017590 ,avengers4,273 
27 ,2019-05-19,145997 ,13453640 ,117805056120 ,avengers4,290 
28 ,2019-05-20,41642 ,13495282 ,118179576240 ,avengers4,242 
29 ,2019-05-21,36047 ,13531329 ,118507860840 ,avengers4,170 
30 ,2019-05-22,35466 ,13566795 ,118838737420 ,avengers4,154 
