day,date,people,acc_people,acc_sales,series,daet
1 ,2012-04-20,822 ,822 ,9864000 ,avengers1,6 
2 ,2012-04-23,440 ,1262 ,14712000 ,avengers1,14 
3 ,2012-04-24,173 ,1435 ,16096000 ,avengers1,22 
4 ,2012-04-25,78519 ,79954 ,755131000 ,avengers1,135 
5 ,2012-04-26,214105 ,294059 ,2625016500 ,avengers1,765 
6 ,2012-04-27,273544 ,567603 ,5083902000 ,avengers1,868 
7 ,2012-04-28,554479 ,1122082 ,10048320500 ,avengers1,1071 
8 ,2012-04-29,517247 ,1639329 ,14640036000 ,avengers1,1081 
9 ,2012-04-30,229617 ,1868946 ,16634072500 ,avengers1,1006 
10 ,2012-05-01,373004 ,2241950 ,19882860000 ,avengers1,615 
11 ,2012-05-02,172731 ,2414681 ,21346811500 ,avengers1,658 
12 ,2012-05-03,161353 ,2576034 ,22695575500 ,avengers1,439 
13 ,2012-05-04,286669 ,2862703 ,25105921000 ,avengers1,506 
14 ,2012-05-05,659320 ,3522023 ,30661681500 ,avengers1,860 
15 ,2012-05-06,487146 ,4009169 ,34769426000 ,avengers1,950 
16 ,2012-05-07,131681 ,4140850 ,35864070500 ,avengers1,569 
17 ,2012-05-08,108871 ,4249721 ,36780031500 ,avengers1,350 
18 ,2012-05-09,111123 ,4360844 ,37709286000 ,avengers1,353 
19 ,2012-05-10,99761 ,4460605 ,38524882500 ,avengers1,397 
20 ,2012-05-11,163291 ,4623896 ,39890468500 ,avengers1,242 
21 ,2012-05-12,435438 ,5059334 ,43514898500 ,avengers1,422 
22 ,2012-05-13,398260 ,5457594 ,46793026000 ,avengers1,596 
23 ,2012-05-14,91973 ,5549567 ,47548168000 ,avengers1,262 
24 ,2012-05-15,107046 ,5656613 ,48397364500 ,avengers1,193 
25 ,2012-05-16,73094 ,5729707 ,48993710500 ,avengers1,192 
26 ,2012-05-17,57355 ,5787062 ,49451329000 ,avengers1,148 
27 ,2012-05-18,87293 ,5874355 ,50166932000 ,avengers1,130 
28 ,2012-05-19,252465 ,6126820 ,52220540500 ,avengers1,220 
29 ,2012-05-20,226787 ,6353607 ,54037711500 ,avengers1,318 
30 ,2012-05-21,43248 ,6396855 ,54388033000 ,avengers1,149 
1 ,2015-04-21,2442 ,2442 ,24541000 ,avengers2,0 
2 ,2015-04-22,1059 ,3501 ,38415000 ,avengers2,0 
3 ,2015-04-23,622165 ,625666 ,5277228700 ,avengers2,1873 
4 ,2015-04-24,649804 ,1275470 ,11079384400 ,avengers2,1601 
5 ,2015-04-25,1155761 ,2431231 ,21202301200 ,avengers2,1771 
6 ,2015-04-26,1013207 ,3444438 ,30035856400 ,avengers2,2111 
7 ,2015-04-27,295125 ,3739563 ,32554146500 ,avengers2,1163 
8 ,2015-04-28,258186 ,3997749 ,34739441700 ,avengers2,816 
9 ,2015-04-29,321740 ,4319489 ,37109988400 ,avengers2,699 
10 ,2015-04-30,344644 ,4664133 ,39917273800 ,avengers2,565 
11 ,2015-05-01,772772 ,5436905 ,46449760700 ,avengers2,850 
12 ,2015-05-02,826765 ,6263670 ,53524931400 ,avengers2,1063 
13 ,2015-05-03,747935 ,7011605 ,59935243500 ,avengers2,1118 
14 ,2015-05-04,608983 ,7620588 ,64784404400 ,avengers2,959 
15 ,2015-05-05,712523 ,8333111 ,70758364800 ,avengers2,1214 
16 ,2015-05-06,133587 ,8466698 ,71845325100 ,avengers2,554 
